country	UrbanPop
Afghanistan	0.258
Albania	0.612
Algeria	0.732
Andorra	0.88
Angola	0.662
Antigua and Barbuda	0.245
Argentina	0.92
Armenia	0.632
Australia	0.861
Austria	0.585
Azerbaijan	0.56
Bahamas	0.831
Bahrain	0.894
Bangladesh	0.374
Barbados	0.312
Belarus	0.79
Belgium	0.98
Belize	0.459
Benin	0.479
Bhutan	0.416
Bolivia	0.698
Bosnia and Herzegovina	0.486
Botswana	0.702
Brazil	0.868
Brunei	0.779
Bulgaria	0.753
Burkina Faso	0.3
Burundi	0.134
Cambodia	0.238
Cameroon	0.57
Canada	0.815
Cape Verde	0.662
Central African Republic	0.418
Chad	0.233
Chile	0.876
China	0.603
Colombia	0.811
Comoros	0.292
Congo, Dem. Rep.	0.45
Congo, Rep.	0.674
Costa Rica	0.801
Cote d'Ivoire	0.512
Croatia	0.572
Cuba	0.771
Cyprus	0.668
Czech Republic	0.739
Denmark	0.88
Djibouti	0.779
Dominica	0.708
Dominican Republic	0.818
Ecuador	0.64
Egypt	0.427
El Salvador	0.727
Equatorial Guinea	0.726
Eritrea	NA
Estonia	0.691
Eswatini	0.24
Ethiopia	0.212
Fiji	0.568
Finland	0.854
France	0.807
Gabon	0.897
Gambia	0.619
Georgia	0.59
Germany	0.774
Ghana	0.567
Greece	0.794
Grenada	0.364
Guatemala	0.514
Guinea	0.365
Guinea-Bissau	0.438
Guyana	0.267
Haiti	0.562
Honduras	0.577
Hungary	0.716
Iceland	0.939
India	0.345
Indonesia	0.56
Iran	0.754
Iraq	0.707
Ireland	0.634
Israel	0.925
Italy	0.707
Jamaica	0.56
Japan	0.917
Jordan	0.912
Kazakhstan	0.575
Kenya	0.275
Kiribati	0.548
Kuwait	1
Kyrgyz Republic	0.366
Lao	0.356
Latvia	0.682
Lebanon	0.888
Lesotho	0.286
Liberia	0.516
Libya	0.804
Liechtenstein	0.144
Lithuania	0.679
Luxembourg	0.912
Madagascar	0.379
Malawi	0.172
Malaysia	0.766
Maldives	0.402
Mali	0.431
Malta	0.947
Marshall Islands	0.774
Mauritania	0.545
Mauritius	0.408
Mexico	0.804
Micronesia, Fed. Sts.	0.228
Moldova	0.427
Monaco	1
Mongolia	0.685
Montenegro	0.672
Morocco	0.63
Mozambique	0.365
Myanmar	0.309
Namibia	0.51
Nauru	1
Nepal	0.202
Netherlands	0.919
New Zealand	0.866
Nicaragua	0.588
Niger	0.165
Nigeria	0.512
North Korea	0.621
North Macedonia	0.582
Norway	0.826
Oman	0.854
Pakistan	0.369
Palau	0.805
Palestine	0.764
Panama	0.681
Papua New Guinea	0.133
Paraguay	0.619
Peru	0.781
Philippines	0.471
Poland	0.6
Portugal	0.658
Qatar	0.992
Romania	0.541
Russia	0.746
Rwanda	0.173
Samoa	0.181
San Marino	0.974
Sao Tome and Principe	0.736
Saudi Arabia	0.841
Senegal	0.477
Serbia	0.563
Seychelles	0.571
Sierra Leone	0.425
Singapore	1
Slovak Republic	0.537
Slovenia	0.548
Solomon Islands	0.242
Somalia	0.456
South Africa	0.669
South Korea	0.814
South Sudan	0.199
Spain	0.806
Sri Lanka	0.186
St. Kitts and Nevis	0.308
St. Lucia	0.188
St. Vincent and the Grenadines	0.526
Sudan	0.349
Suriname	0.661
Sweden	0.877
Switzerland	0.738
Syria	0.548
Tajikistan	0.273
Tanzania	0.345
Thailand	0.507
Timor-Leste	0.309
Togo	0.422
Tonga	0.231
Trinidad and Tobago	0.532
Tunisia	0.693
Turkey	0.756
Turkmenistan	0.52
Tuvalu	0.632
Uganda	0.244
Ukraine	0.695
United Arab Emirates	0.868
United Kingdom	0.837
United States	0.825
Uruguay	0.954
Uzbekistan	0.504
Vanuatu	0.254
Venezuela	0.882
Vietnam	0.366
Yemen	0.373
Zambia	0.441
Zimbabwe	0.322
