country	LandSqkm
Afghanistan	653000
Albania	27400
Algeria	2380000
Andorra	470
Angola	1250000
Antigua and Barbuda	440
Argentina	2740000
Armenia	28500
Australia	7690000
Austria	82500
Azerbaijan	82700
Bahamas	10000
Bahrain	778
Bangladesh	130000
Barbados	430
Belarus	203000
Belgium	30300
Belize	22800
Benin	113000
Bhutan	38100
Bolivia	1080000
Bosnia and Herzegovina	51200
Botswana	567000
Brazil	8360000
Brunei	5270
Bulgaria	109000
Burkina Faso	274000
Burundi	25700
Cambodia	177000
Cameroon	473000
Canada	9090000
Cape Verde	4030
Central African Republic	623000
Chad	1260000
Chile	744000
China	9390000
Colombia	1110000
Comoros	1860
Congo, Dem. Rep.	2270000
Congo, Rep.	342000
Costa Rica	51100
Cote d'Ivoire	318000
Croatia	56000
Cuba	104000
Cyprus	9240
Czech Republic	77200
Denmark	42000
Djibouti	23200
Dominica	750
Dominican Republic	48300
Ecuador	248000
Egypt	995000
El Salvador	20700
Equatorial Guinea	28100
Eritrea	101000
Estonia	43500
Eswatini	17200
Ethiopia	1000000
Fiji	18300
Finland	304000
France	548000
Gabon	258000
Gambia	10100
Georgia	69500
Germany	349000
Ghana	228000
Greece	129000
Grenada	340
Guatemala	107000
Guinea	246000
Guinea-Bissau	28100
Guyana	197000
Haiti	27600
Honduras	112000
Hungary	90500
Iceland	100000
India	2970000
Indonesia	1810000
Iran	1630000
Iraq	434000
Ireland	68900
Israel	21600
Italy	294000
Jamaica	10800
Japan	365000
Jordan	88800
Kazakhstan	2700000
Kenya	569000
Kiribati	810
Kuwait	17800
Kyrgyz Republic	192000
Lao	231000
Latvia	62200
Lebanon	10200
Lesotho	30400
Liberia	96300
Libya	1760000
Liechtenstein	160
Lithuania	62600
Luxembourg	2430
Madagascar	582000
Malawi	94300
Malaysia	329000
Maldives	300
Mali	1220000
Malta	320
Marshall Islands	180
Mauritania	1030000
Mauritius	2030
Mexico	1940000
Micronesia, Fed. Sts.	700
Moldova	32900
Monaco	NA
Mongolia	1550000
Montenegro	13500
Morocco	446000
Mozambique	786000
Myanmar	653000
Namibia	823000
Nauru	20
Nepal	143000
Netherlands	33700
New Zealand	263000
Nicaragua	120000
Niger	1270000
Nigeria	911000
North Korea	120000
North Macedonia	25200
Norway	365000
Oman	310000
Pakistan	771000
Palau	460
Palestine	6020
Panama	74300
Papua New Guinea	453000
Paraguay	397000
Peru	1280000
Philippines	298000
Poland	306000
Portugal	91600
Qatar	11600
Romania	230000
Russia	16400000
Rwanda	24700
Samoa	2830
San Marino	60
Sao Tome and Principe	960
Saudi Arabia	2150000
Senegal	193000
Serbia	87500
Seychelles	460
Sierra Leone	72200
Singapore	709
Slovak Republic	48100
Slovenia	20100
Solomon Islands	28000
Somalia	627000
South Africa	1210000
South Korea	97500
Spain	500000
Sri Lanka	62700
St. Kitts and Nevis	260
St. Lucia	610
St. Vincent and the Grenadines	390
Suriname	156000
Sweden	407000
Switzerland	39500
Syria	184000
Tajikistan	139000
Tanzania	886000
Thailand	511000
Timor-Leste	14900
Togo	54400
Tonga	720
Trinidad and Tobago	5130
Tunisia	155000
Turkey	770000
Turkmenistan	470000
Tuvalu	30
Uganda	201000
Ukraine	579000
United Arab Emirates	71000
United Kingdom	242000
United States	9150000
Uruguay	175000
Uzbekistan	425000
Vanuatu	12200
Venezuela	882000
Vietnam	310000
Yemen	528000
Zambia	743000
Zimbabwe	387000
