country	WorkHours
Albania	38.8
Algeria	NA
Argentina	NA
Armenia	38.3
Australia	33.6
Austria	35.6
Azerbaijan	36.8
Bangladesh	NA
Belarus	36.5
Belgium	37.3
Belize	46
Benin	NA
Bolivia	NA
Bosnia and Herzegovina	40.7
Botswana	NA
Brazil	38.9
Brunei	NA
Bulgaria	40.2
Burkina Faso	NA
Cambodia	NA
Canada	35.6
Chile	41
China	NA
Colombia	43.6
Congo, Dem. Rep.	NA
Costa Rica	43
Cote d'Ivoire	NA
Croatia	38.4
Cuba	NA
Cyprus	37.9
Czech Republic	39.2
Denmark	34.9
Dominican Republic	41.1
Ecuador	39
Egypt	46.2
El Salvador	42.3
Estonia	38.1
Ethiopia	NA
Finland	36.1
France	36.1
Gambia	NA
Germany	35.5
Ghana	35.1
Greece	40.9
Guatemala	42
Honduras	39.2
Hungary	38.5
Iceland	40
Indonesia	40
Iran	NA
Ireland	35.4
Israel	36
Italy	36.4
Jamaica	NA
Japan	39
Kazakhstan	38
Kenya	NA
Kyrgyz Republic	35.7
Lao	NA
Latvia	39.2
Liberia	NA
Lithuania	38.8
Luxembourg	38.2
Madagascar	NA
Malaysia	45.4
Maldives	NA
Mali	42.6
Malta	37.5
Mauritius	38.3
Mexico	44.8
Moldova	38.3
Mongolia	48
Montenegro	43.1
Morocco	NA
Mozambique	36.4
Myanmar	50.8
Namibia	NA
Nepal	53.6
Netherlands	32.1
New Zealand	33
Nicaragua	NA
Nigeria	NA
North Macedonia	41.5
Norway	34.3
Pakistan	47
Palestine	41.3
Panama	39.1
Paraguay	42.7
Peru	39
Philippines	NA
Poland	40.4
Portugal	38.8
Qatar	50
Romania	38.7
Russia	39.3
Rwanda	NA
Samoa	NA
Saudi Arabia	44.1
Senegal	43.2
Serbia	41.9
Seychelles	43.7
Sierra Leone	NA
Singapore	44.2
Slovak Republic	38.9
Slovenia	39.1
South Africa	43.4
South Korea	43.6
Spain	37.3
Sri Lanka	NA
Sweden	35.8
Switzerland	36.5
Tajikistan	NA
Tanzania	NA
Thailand	43.3
Timor-Leste	NA
Turkey	46.7
Uganda	NA
Ukraine	39
United Arab Emirates	NA
United Kingdom	35.9
United States	36.6
Uruguay	NA
Venezuela	NA
Vietnam	40.9
Yemen	NA
Zimbabwe	NA
