country	WomanInParlia
Afghanistan	0.272
Albania	0.295
Algeria	0.211
Andorra	0.464
Angola	0.3
Antigua and Barbuda	0.314
Argentina	0.407
Armenia	0.235
Australia	0.37
Austria	0.385
Azerbaijan	0.174
Bahamas	0.218
Bahrain	0.188
Bangladesh	0.209
Barbados	0.294
Belarus	0.347
Belgium	0.419
Belize	0.13
Benin	0.0723
Bhutan	0.153
Bolivia	0.518
Bosnia and Herzegovina	0.211
Botswana	0.108
Brazil	0.145
Brunei	0.0909
Bulgaria	0.267
Burkina Faso	0.134
Burundi	0.389
Cambodia	0.187
Cameroon	0.311
Canada	0.336
Cape Verde	0.25
Central African Republic	0.0857
Chad	0.154
Chile	0.227
China	0.249
Colombia	0.196
Comoros	0.167
Congo, Dem. Rep.	0.143
Congo, Rep.	0.136
Costa Rica	0.456
Cote d'Ivoire	0.136
Croatia	0.311
Cuba	0.532
Cyprus	0.196
Czech Republic	0.203
Denmark	0.397
Djibouti	0.261
Dominica	0.344
Dominican Republic	0.257
Ecuador	0.394
Egypt	0.151
El Salvador	0.333
Equatorial Guinea	0.192
Eritrea	NA
Estonia	0.287
Eswatini	0.184
Ethiopia	0.373
Fiji	0.196
Finland	0.46
France	0.372
Gabon	0.161
Gambia	0.0862
Georgia	0.141
Germany	0.316
Ghana	0.131
Greece	0.217
Grenada	0.393
Guatemala	0.194
Guinea	0.167
Guinea-Bissau	0.137
Guyana	0.357
Haiti	0
Honduras	0.211
Hungary	0.121
Iceland	0.381
India	0.131
Indonesia	0.204
Iran	0.0559
Iraq	0.264
Ireland	0.273
Israel	0.275
Italy	0.353
Jamaica	0.309
Japan	0.144
Jordan	0.138
Kazakhstan	0.245
Kenya	0.233
Kiribati	0.0889
Kuwait	0.0635
Kyrgyz Republic	0.192
Lao	0.275
Latvia	0.3
Lebanon	0.0469
Lesotho	0.23
Liberia	0.0971
Libya	0.16
Liechtenstein	0.12
Lithuania	0.241
Luxembourg	0.3
Madagascar	0.183
Malawi	0.229
Malaysia	0.159
Maldives	0.046
Mali	0.279
Malta	0.134
Marshall Islands	0.0606
Mauritania	0.203
Mauritius	0.2
Mexico	0.484
Micronesia, Fed. Sts.	0
Moldova	0.248
Monaco	0.333
Mongolia	0.173
Montenegro	0.222
Morocco	0.184
Mozambique	0.424
Myanmar	0.114
Namibia	0.363
Nauru	0.105
Nepal	0.336
Netherlands	0.351
New Zealand	0.408
Nicaragua	0.473
Niger	0.17
Nigeria	0.045
North Korea	0.176
North Macedonia	0.383
Norway	0.414
Oman	0.0988
Pakistan	0.2
Palau	0.138
Panama	0.225
Papua New Guinea	0
Paraguay	0.176
Peru	0.261
Philippines	0.281
Poland	0.279
Portugal	0.4
Qatar	0.0976
Romania	0.198
Russia	0.161
Rwanda	0.557
Samoa	0.1
San Marino	0.333
Sao Tome and Principe	0.146
Saudi Arabia	0.199
Senegal	0.43
Serbia	0.388
Seychelles	0.212
Sierra Leone	0.123
Singapore	0.295
Slovak Republic	0.227
Slovenia	0.223
Solomon Islands	0.0638
Somalia	0.243
South Africa	0.454
South Korea	0.19
South Sudan	0.266
Spain	0.419
Sri Lanka	0.0538
St. Kitts and Nevis	0.25
St. Lucia	0.207
St. Vincent and the Grenadines	0.13
Sudan	NA
Suriname	0.294
Sweden	0.47
Switzerland	0.386
Syria	0.112
Tajikistan	0.234
Tanzania	0.369
Thailand	0.139
Timor-Leste	0.385
Togo	0.187
Tonga	0.0741
Trinidad and Tobago	0.324
Tunisia	0.249
Turkey	0.173
Turkmenistan	0.25
Tuvalu	0.0625
Uganda	0.349
Ukraine	0.208
United Arab Emirates	0.5
United Kingdom	0.3
United States	0.237
Uruguay	0.231
Uzbekistan	0.291
Vanuatu	0
Venezuela	0.222
Vietnam	0.267
Yemen	0.0097
Zambia	0.168
Zimbabwe	0.346
