country	Income_pp
Afghanistan	1850
Albania	13800
Algeria	14000
Andorra	56900
Angola	5440
Antigua and Barbuda	25400
Argentina	17200
Armenia	10700
Australia	46200
Austria	47800
Azerbaijan	16500
Bahamas	28600
Bahrain	42200
Bangladesh	4670
Barbados	16900
Belarus	18300
Belgium	44200
Belize	7720
Benin	2400
Bhutan	10700
Bolivia	7480
Bosnia and Herzegovina	13800
Botswana	17900
Brazil	14800
Brunei	76900
Bulgaria	21700
Burkina Faso	1920
Burundi	613
Cambodia	4510
Cameroon	3520
Canada	44900
Cape Verde	7440
Central African Republic	841
Chad	1830
Chile	23800
China	19100
Colombia	14400
Comoros	2540
Congo, Dem. Rep.	848
Congo, Rep.	5080
Costa Rica	16300
Cote d'Ivoire	4270
Croatia	26200
Cuba	8620
Cyprus	35700
Czech Republic	35900
Denmark	49500
Djibouti	3830
Dominica	11300
Dominican Republic	17800
Ecuador	10100
Egypt	12200
El Salvador	7710
Equatorial Guinea	16200
Eritrea	1450
Estonia	33800
Eswatini	9470
Ethiopia	2110
Fiji	10500
Finland	43500
France	40800
Gabon	16900
Gambia	1660
Georgia	11800
Germany	47400
Ghana	4710
Greece	26900
Grenada	15000
Guatemala	7850
Guinea	2580
Guinea-Bissau	1720
Guyana	8480
Haiti	1650
Honduras	4800
Hungary	31600
Iceland	47800
India	8100
Indonesia	13100
Iran	15900
Iraq	16200
Ireland	75700
Israel	34800
Italy	36400
Jamaica	8440
Japan	40400
Jordan	8560
Kazakhstan	26600
Kenya	3360
Kiribati	2070
Kuwait	64200
Kyrgyz Republic	3610
Lao	7670
Latvia	29000
Lebanon	12300
Lesotho	2970
Liberia	1110
Libya	14500
Lithuania	34600
Luxembourg	95800
Madagascar	1560
Malawi	1240
Malaysia	31000
Maldives	15400
Mali	2180
Malta	41300
Marshall Islands	3670
Mauritania	4170
Mauritius	23600
Mexico	18300
Micronesia, Fed. Sts.	3280
Moldova	7250
Monaco	62700
Mongolia	13600
Montenegro	18700
Morocco	8220
Mozambique	1220
Myanmar	6970
Namibia	9720
Nauru	13400
Nepal	3150
Netherlands	51800
New Zealand	37000
Nicaragua	4480
Niger	991
Nigeria	5300
North Korea	1720
North Macedonia	14800
Norway	68200
Oman	36400
Pakistan	5080
Palau	18000
Palestine	4700
Panama	25100
Papua New Guinea	3970
Paraguay	12700
Peru	13700
Philippines	9040
Poland	31700
Portugal	30300
Qatar	119000
Romania	27200
Russia	26700
Rwanda	2360
Samoa	6540
San Marino	58100
Sao Tome and Principe	3140
Saudi Arabia	48300
Senegal	3740
Serbia	18200
Seychelles	29400
Sierra Leone	1540
Singapore	91400
Slovak Republic	33800
Slovenia	35600
Solomon Islands	2180
Somalia	636
South Africa	12000
South Korea	38900
South Sudan	1980
Spain	36600
Sri Lanka	12800
St. Kitts and Nevis	30300
St. Lucia	13100
St. Vincent and the Grenadines	11700
Sudan	4580
Suriname	14300
Sweden	48000
Switzerland	59300
Syria	2930
Tajikistan	3310
Tanzania	3150
Thailand	18500
Timor-Leste	6090
Togo	1700
Tonga	6310
Trinidad and Tobago	29400
Tunisia	11500
Turkey	25900
Turkmenistan	19400
Tuvalu	4020
Uganda	1980
Ukraine	9080
United Arab Emirates	65100
United Kingdom	41200
United States	58200
Uruguay	21900
Uzbekistan	7100
Vanuatu	2930
Venezuela	8600
Vietnam	7760
Yemen	2580
Zambia	3600
Zimbabwe	2420
