country	BasicSaniAcc
Afghanistan	0.434
Albania	0.977
Algeria	0.876
Andorra	1
Angola	0.499
Antigua and Barbuda	0.875
Argentina	NA
Armenia	0.936
Australia	1
Austria	1
Azerbaijan	0.925
Bahamas	0.949
Bahrain	1
Bangladesh	0.482
Barbados	0.973
Belarus	0.978
Belgium	0.995
Belize	0.879
Benin	0.165
Bhutan	0.693
Bolivia	0.607
Bosnia and Herzegovina	0.954
Botswana	0.773
Brazil	0.883
Brunei	NA
Bulgaria	0.86
Burkina Faso	0.194
Burundi	0.458
Cambodia	0.592
Cameroon	0.391
Canada	0.993
Cape Verde	0.739
Central African Republic	NA
Chad	0.0834
Chile	1
China	0.848
Colombia	0.896
Comoros	0.359
Congo, Dem. Rep.	0.205
Congo, Rep.	0.202
Costa Rica	0.978
Cote d'Ivoire	0.321
Croatia	0.965
Cuba	0.928
Cyprus	0.992
Czech Republic	0.991
Denmark	0.996
Djibouti	0.636
Dominica	NA
Dominican Republic	0.839
Ecuador	0.88
Egypt	0.942
El Salvador	0.874
Equatorial Guinea	0.663
Eritrea	NA
Estonia	0.991
Eswatini	0.584
Ethiopia	0.0732
Fiji	0.951
Finland	0.994
France	0.987
Gabon	0.474
Gambia	0.392
Georgia	0.9
Germany	0.992
Ghana	0.185
Greece	0.99
Grenada	0.915
Guatemala	0.651
Guinea	0.227
Guinea-Bissau	0.205
Guyana	0.858
Haiti	0.347
Honduras	0.813
Hungary	0.98
Iceland	0.988
India	0.595
Indonesia	0.731
Iran	0.884
Iraq	0.941
Ireland	0.912
Israel	1
Italy	0.988
Jamaica	0.873
Japan	0.999
Jordan	0.973
Kazakhstan	0.979
Kenya	0.291
Kiribati	0.478
Kuwait	1
Kyrgyz Republic	0.965
Lao	0.745
Latvia	0.921
Lebanon	0.985
Lesotho	0.428
Liberia	0.17
Libya	1
Liechtenstein	1
Lithuania	0.934
Luxembourg	0.976
Madagascar	0.105
Malawi	0.262
Malaysia	0.996
Maldives	0.994
Mali	0.393
Malta	1
Marshall Islands	0.835
Mauritania	0.484
Mauritius	0.955
Mexico	0.912
Micronesia, Fed. Sts.	0.883
Moldova	0.763
Monaco	1
Mongolia	0.585
Montenegro	0.978
Morocco	0.885
Mozambique	0.294
Myanmar	0.643
Namibia	0.345
Nauru	0.656
Nepal	0.621
Netherlands	0.977
New Zealand	1
Nicaragua	0.744
Niger	0.136
Nigeria	0.392
North Korea	0.832
North Macedonia	0.991
Norway	0.981
Oman	1
Pakistan	0.599
Palau	1
Palestine	0.969
Panama	0.833
Papua New Guinea	0.129
Paraguay	0.898
Peru	0.743
Philippines	0.765
Poland	0.988
Portugal	0.996
Qatar	1
Romania	0.843
Russia	0.905
Rwanda	0.666
Samoa	0.982
San Marino	1
Sao Tome and Principe	0.43
Saudi Arabia	1
Senegal	0.515
Serbia	0.976
Seychelles	1
Sierra Leone	0.157
Singapore	1
Slovak Republic	0.979
Slovenia	0.991
Solomon Islands	0.335
Somalia	0.383
South Africa	0.757
South Korea	1
South Sudan	0.113
Spain	0.999
Sri Lanka	0.958
St. Kitts and Nevis	NA
St. Lucia	0.884
St. Vincent and the Grenadines	0.872
Sudan	0.366
Suriname	0.845
Sweden	0.993
Switzerland	0.999
Syria	0.912
Tajikistan	0.97
Tanzania	0.299
Thailand	0.988
Timor-Leste	0.535
Togo	0.161
Tonga	0.934
Trinidad and Tobago	0.934
Tunisia	0.909
Turkey	0.973
Turkmenistan	0.987
Tuvalu	0.841
Uganda	0.185
Ukraine	0.962
United Arab Emirates	0.986
United Kingdom	0.991
United States	1
Uruguay	0.966
Uzbekistan	1
Vanuatu	0.341
Venezuela	0.939
Vietnam	0.835
Yemen	0.591
Zambia	0.264
Zimbabwe	0.362
