country	level	tests_done
Austria	national	12339
Austria	national	58488
Austria	national	33443
Austria	national	26598
Austria	national	42153
Austria	national	46001
Austria	national	39348
Austria	national	46677
Austria	national	41063
Austria	national	35243
Austria	national	15775
Austria	national	61905
Austria	national	45284
Austria	national	48936
Austria	national	51929
Austria	national	99229
Austria	national	57416
Austria	national	56554
Austria	national	56622
Austria	national	76497
Austria	national	77105
Austria	national	83733
Austria	national	86241
Austria	national	102617
Austria	national	110816
Austria	national	130874
Austria	national	124663
Austria	national	129647
Austria	national	158997
Austria	national	167926
Austria	national	199567
Austria	national	215044
Austria	national	207745
Austria	national	196461
Austria	national	163770
Austria	national	162984
Austria	national	185766
Austria	national	163961
Austria	national	127657
Austria	national	137035
Austria	national	911735
Austria	national	1144351
Austria	national	655713
Austria	national	960284
Austria	national	1477892
Austria	national	1500910
Austria	national	1582385
Austria	national	1651867
Austria	national	1829934
Austria	national	1991339
Austria	national	2081325
Austria	national	2169545
Austria	national	2067620
Austria	national	2165967
Austria	national	1951838
Austria	subnational	3723
Austria	subnational	3487
Austria	subnational	3334
Austria	subnational	3900
Austria	subnational	3383
Austria	subnational	13416
Austria	subnational	74843
Austria	subnational	28355
Austria	subnational	41235
Austria	subnational	60129
Austria	subnational	73605
Austria	subnational	71927
Austria	subnational	67147
Austria	subnational	72432
Austria	subnational	70879
Austria	subnational	85688
Austria	subnational	78730
Austria	subnational	75529
Austria	subnational	82808
Austria	subnational	88162
Austria	subnational	37411
Austria	subnational	40996
Austria	subnational	35963
Austria	subnational	35297
Austria	subnational	43217
Austria	subnational	97152
Austria	subnational	587473
Austria	subnational	54758
Austria	subnational	258282
Austria	subnational	318684
Austria	subnational	326192
Austria	subnational	322101
Austria	subnational	365049
Austria	subnational	401382
Austria	subnational	450719
Austria	subnational	506134
Austria	subnational	542963
Austria	subnational	483102
Austria	subnational	500100
Austria	subnational	352619
Austria	subnational	55241
Austria	subnational	68996
Austria	subnational	62050
Austria	subnational	23023
Austria	subnational	29669
Austria	subnational	177703
Austria	subnational	120179
Austria	subnational	145020
Austria	subnational	210918
Austria	subnational	309630
Austria	subnational	307974
Austria	subnational	312457
Austria	subnational	332156
Austria	subnational	340528
Austria	subnational	279829
Austria	subnational	401947
Austria	subnational	427862
Austria	subnational	365544
Austria	subnational	497972
Austria	subnational	443669
