country	cholesterol_m
Afghanistan	4.1
Albania	4.89
Algeria	4.66
Andorra	5.56
Angola	4.39
Antigua and Barbuda	4.75
Argentina	5.03
Armenia	4.71
Australia	5.13
Austria	5.3
Azerbaijan	4.53
Bahamas	5
Bahrain	5.06
Bangladesh	4.25
Barbados	4.71
Belarus	5.02
Belgium	5.4
Belize	4.46
Benin	4.08
Bhutan	4.5
Bolivia	4.58
Bosnia and Herzegovina	4.67
Botswana	4.61
Brazil	4.83
Brunei	5.13
Bulgaria	4.99
Burkina Faso	3.9
Burundi	3.95
Cambodia	4.36
Cameroon	4.07
Canada	5.09
Cape Verde	4.25
Central African Republic	4.06
Chad	3.91
Chile	4.97
China	4.5
Colombia	4.77
Comoros	4.18
Congo, Dem. Rep.	3.78
Congo, Rep.	4.3
Costa Rica	4.66
Cote d'Ivoire	4.04
Croatia	4.97
Cuba	4.38
Cyprus	5.23
Czech Republic	5.11
Denmark	5.52
Djibouti	4.64
Dominica	4.51
Dominican Republic	4.38
Ecuador	4.67
Egypt	4.56
El Salvador	4.47
Equatorial Guinea	4.68
Eritrea	4.11
Estonia	5.16
Eswatini	4.4
Ethiopia	4.11
Fiji	5.16
Finland	5.18
France	5.36
Gabon	4.72
Gambia	4
Georgia	4.6
Germany	5.56
Ghana	3.88
Greece	4.99
Grenada	4.45
Guatemala	4.22
Guinea	3.92
Guinea-Bissau	3.87
Guyana	4.1
Haiti	4.07
Honduras	4.31
Hungary	5.13
Iceland	5.68
India	4.34
Indonesia	4.52
Iran	5
Iraq	4.83
Ireland	5.43
Israel	5.04
Italy	5.32
Jamaica	4.42
Japan	5.19
Jordan	4.95
Kazakhstan	4.87
Kenya	4.31
Kiribati	4.53
Kuwait	5.16
Kyrgyz Republic	4.38
Lao	4.38
Latvia	5.14
Lebanon	4.76
Lesotho	4.11
Liberia	3.81
Libya	4.59
Lithuania	5.14
Luxembourg	5.55
Madagascar	4.22
Malawi	4.23
Malaysia	4.98
Maldives	4.63
Mali	3.98
Malta	5.3
Marshall Islands	4.81
Mauritania	4.15
Mauritius	4.93
Mexico	4.93
Micronesia, Fed. Sts.	4.95
Moldova	4.58
Mongolia	4.66
Montenegro	4.94
Morocco	4.53
Mozambique	4.33
Myanmar	4.33
Namibia	4.46
Nauru	4.77
Nepal	4.15
Netherlands	5.35
New Zealand	5.19
Nicaragua	4.33
Niger	3.8
Nigeria	3.79
North Korea	4.23
North Macedonia	4.78
Norway	5.39
Oman	4.94
Pakistan	4.46
Palau	5.12
Palestine	4.48
Panama	4.72
Papua New Guinea	4.62
Paraguay	4.62
Peru	4.67
Philippines	4.7
Poland	5.27
Portugal	5.18
Qatar	5.17
Romania	4.89
Russia	4.93
Rwanda	4.09
Samoa	4.48
Sao Tome and Principe	3.94
Saudi Arabia	4.63
Senegal	4.08
Serbia	4.92
Seychelles	5.23
Sierra Leone	3.82
Singapore	5.17
Slovak Republic	5.07
Slovenia	5.18
Solomon Islands	4.45
Somalia	4.22
South Africa	4.48
South Korea	4.79
Spain	5.22
Sri Lanka	4.49
St. Kitts and Nevis	4.71
St. Lucia	4.58
St. Vincent and the Grenadines	4.53
Sudan	4.52
Suriname	4.51
Sweden	5.15
Switzerland	5.29
Syria	4.66
Tajikistan	4.17
Tanzania	4.13
Thailand	4.99
Timor-Leste	4.2
Togo	3.86
Tonga	5.08
Trinidad and Tobago	4.62
Tunisia	4.63
Turkey	4.69
Turkmenistan	4.54
Uganda	4.07
Ukraine	4.8
United Arab Emirates	5.18
United Kingdom	5.42
United States	5.07
Uruguay	4.81
Uzbekistan	4.26
Vanuatu	4.61
Venezuela	4.54
Vietnam	4.52
Yemen	4.45
Zambia	4.34
Zimbabwe	4.13
