Province/State	Country/Region	Cases
NA	Afghanistan	59576
NA	Albania	130977
NA	Algeria	121866
NA	Andorra	13198
NA	Angola	26431
NA	Antigua and Barbuda	1232
NA	Argentina	2954943
NA	Armenia	215528
Australian Capital Territory	Australia	124
New South Wales	Australia	5477
Northern Territory	Australia	166
Queensland	Australia	1559
South Australia	Australia	722
Tasmania	Australia	234
Victoria	Australia	20518
Western Australia	Australia	998
NA	Austria	616739
NA	Azerbaijan	317913
NA	Bahamas	10349
NA	Bahrain	175752
NA	Bangladesh	756955
NA	Barbados	3838
NA	Belarus	357233
NA	Belgium	986622
NA	Belize	12646
NA	Benin	7821
NA	Bhutan	1066
NA	Bolivia	301831
NA	Bosnia and Herzegovina	197866
NA	Botswana	46934
NA	Brazil	14590678
NA	Brunei	224
NA	Bulgaria	403728
NA	Burkina Faso	13309
NA	Burma	142800
NA	Burundi	3985
NA	Cabo Verde	23554
NA	Cambodia	12641
NA	Cameroon	72250
Alberta	Canada	188727
British Columbia	Canada	128742
Diamond Princess	Canada	0
Grand Princess	Canada	13
Manitoba	Canada	38439
New Brunswick	Canada	1900
Newfoundland and Labrador	Canada	1068
Northwest Territories	Canada	57
Nova Scotia	Canada	2360
Nunavut	Canada	490
Ontario	Canada	468485
Prince Edward Island	Canada	177
Quebec	Canada	348732
Repatriated Travellers	Canada	13
Saskatchewan	Canada	40824
Yukon	Canada	81
NA	Central African Republic	6411
NA	Chad	4810
NA	Chile	1190991
Anhui	China	994
Beijing	China	1057
Chongqing	China	596
Fujian	China	591
Gansu	China	193
Guangdong	China	2337
Guangxi	China	270
Guizhou	China	147
Hainan	China	188
Hebei	China	1317
Heilongjiang	China	1610
Henan	China	1312
Hong Kong	China	11770
Hubei	China	68158
Hunan	China	1044
Inner Mongolia	China	380
Jiangsu	China	719
Jiangxi	China	937
Jilin	China	573
Liaoning	China	408
Macau	China	49
Ningxia	China	75
Qinghai	China	18
Shaanxi	China	590
Shandong	China	876
Shanghai	China	1984
Shanxi	China	251
Sichuan	China	979
Tianjin	China	385
Tibet	China	1
Unknown	China	0
Xinjiang	China	980
Yunnan	China	342
Zhejiang	China	1343
NA	Colombia	2841934
NA	Comoros	3834
NA	Congo (Brazzaville)	10678
NA	Congo (Kinshasa)	29812
NA	Costa Rica	248382
NA	Cote d'Ivoire	45998
NA	Croatia	330176
NA	Cuba	105661
NA	Cyprus	65233
NA	Czechia	1628536
Faroe Islands	Denmark	663
Greenland	Denmark	31
NA	Denmark	250554
NA	Diamond Princess	712
NA	Djibouti	11026
NA	Dominica	174
NA	Dominican Republic	266214
NA	Ecuador	380689
NA	Egypt	226531
NA	El Salvador	69198
NA	Equatorial Guinea	7694
NA	Eritrea	3671
NA	Estonia	121657
NA	Eswatini	18458
NA	Ethiopia	256418
NA	Fiji	116
NA	Finland	86613
French Guiana	France	19099
French Polynesia	France	18755
Guadeloupe	France	13770
Martinique	France	10491
Mayotte	France	20055
New Caledonia	France	124
Reunion	France	20381
Saint Barthelemy	France	974
Saint Pierre and Miquelon	France	25
St Martin	France	1745
Wallis and Futuna	France	444
NA	France	5547670
NA	Gabon	22818
NA	Gambia	5887
NA	Georgia	308834
NA	Germany	3391039
NA	Ghana	92562
NA	Greece	342908
NA	Grenada	160
NA	Guatemala	226247
NA	Guinea	22215
NA	Guinea-Bissau	3733
NA	Guyana	13106
NA	Haiti	13017
NA	Holy See	27
NA	Honduras	211076
NA	Hungary	776983
NA	Iceland	6466
NA	India	18762976
NA	Indonesia	1662868
NA	Iran	2479805
NA	Iraq	1058794
NA	Ireland	248326
NA	Israel	838407
NA	Italy	4009208
NA	Jamaica	45414
NA	Japan	588580
NA	Jordan	709817
NA	Kazakhstan	372662
NA	Kenya	158821
NA	Korea, South	122007
NA	Kosovo	103638
NA	Kuwait	272562
NA	Kyrgyzstan	94944
NA	Laos	672
NA	Latvia	117795
NA	Lebanon	525577
NA	Lesotho	10731
NA	Liberia	2099
NA	Libya	177072
NA	Liechtenstein	2921
NA	Lithuania	245896
NA	Luxembourg	67045
NA	MS Zaandam	9
NA	Madagascar	36696
NA	Malawi	34062
NA	Malaysia	404925
NA	Maldives	29370
NA	Mali	13815
NA	Malta	30276
NA	Marshall Islands	4
NA	Mauritania	18377
NA	Mauritius	1208
NA	Mexico	2340934
NA	Micronesia	1
NA	Moldova	250508
NA	Monaco	2452
NA	Mongolia	35979
NA	Montenegro	97257
NA	Morocco	510886
NA	Mozambique	69864
NA	Namibia	48177
NA	Nepal	317530
Aruba	Netherlands	10608
Bonaire, Sint Eustatius and Saba	Netherlands	1556
Curacao	Netherlands	12181
Sint Maarten	Netherlands	2226
NA	Netherlands	1488594
NA	New Zealand	2613
NA	Nicaragua	6898
NA	Niger	5226
NA	Nigeria	165055
NA	North Macedonia	152002
NA	Norway	112541
NA	Oman	193253
NA	Pakistan	820823
NA	Panama	364218
NA	Papua New Guinea	10997
NA	Paraguay	276865
NA	Peru	1783339
NA	Philippines	1028738
NA	Poland	2785353
NA	Portugal	836033
NA	Qatar	204976
NA	Romania	1053629
NA	Russia	4742142
NA	Rwanda	24995
NA	Saint Kitts and Nevis	44
NA	Saint Lucia	4534
NA	Saint Vincent and the Grenadines	1855
NA	Samoa	3
NA	San Marino	5060
NA	Sao Tome and Principe	2301
NA	Saudi Arabia	416307
NA	Senegal	40295
NA	Serbia	687944
NA	Seychelles	5559
NA	Sierra Leone	4053
NA	Singapore	61121
NA	Slovakia	381744
NA	Slovenia	239339
NA	Solomon Islands	20
NA	Somalia	13915
NA	South Africa	1579536
NA	South Sudan	10567
NA	Spain	3514942
NA	Sri Lanka	106484
NA	Sudan	33944
NA	Suriname	10286
NA	Sweden	967678
NA	Switzerland	658143
NA	Syria	22631
NA	Taiwan*	1121
NA	Tajikistan	13308
NA	Tanzania	509
NA	Thailand	63570
NA	Timor-Leste	2190
NA	Togo	12931
NA	Trinidad and Tobago	10498
NA	Tunisia	307215
NA	Turkey	4788700
NA	US	32289049
NA	Uganda	41797
NA	Ukraine	2113880
NA	United Arab Emirates	518262
Anguilla	United Kingdom	91
Bermuda	United Kingdom	2382
British Virgin Islands	United Kingdom	194
Cayman Islands	United Kingdom	542
Channel Islands	United Kingdom	4055
Falkland Islands (Malvinas)	United Kingdom	63
Gibraltar	United Kingdom	4283
Isle of Man	United Kingdom	1587
Montserrat	United Kingdom	20
Saint Helena, Ascension and Tristan da Cunha	United Kingdom	4
Turks and Caicos Islands	United Kingdom	2386
NA	United Kingdom	4414242
NA	Uruguay	195734
NA	Uzbekistan	90406
NA	Vanuatu	4
NA	Venezuela	196386
NA	Vietnam	2910
NA	West Bank and Gaza	295601
NA	Yemen	6294
NA	Zambia	91533
NA	Zimbabwe	38235
