Province/State	Country/Region	Deaths
NA	Afghanistan	2618
NA	Albania	2389
NA	Algeria	3244
NA	Andorra	125
NA	Angola	594
NA	Antigua and Barbuda	32
NA	Argentina	63508
NA	Armenia	4087
Australian Capital Territory	Australia	3
New South Wales	Australia	54
Northern Territory	Australia	0
Queensland	Australia	7
South Australia	Australia	4
Tasmania	Australia	13
Victoria	Australia	820
Western Australia	Australia	9
NA	Austria	10179
NA	Azerbaijan	4490
NA	Bahamas	198
NA	Bahrain	639
NA	Bangladesh	11393
NA	Barbados	44
NA	Belarus	2532
NA	Belgium	24185
NA	Belize	323
NA	Benin	99
NA	Bhutan	1
NA	Bolivia	12920
NA	Bosnia and Herzegovina	8512
NA	Botswana	712
NA	Brazil	401186
NA	Brunei	3
NA	Bulgaria	16368
NA	Burkina Faso	157
NA	Burma	3209
NA	Burundi	6
NA	Cabo Verde	213
NA	Cambodia	91
NA	Cameroon	1107
Alberta	Canada	2075
British Columbia	Canada	1577
Diamond Princess	Canada	1
Grand Princess	Canada	0
Manitoba	Canada	973
New Brunswick	Canada	36
Newfoundland and Labrador	Canada	6
Northwest Territories	Canada	0
Nova Scotia	Canada	67
Nunavut	Canada	4
Ontario	Canada	8024
Prince Edward Island	Canada	0
Quebec	Canada	10913
Repatriated Travellers	Canada	0
Saskatchewan	Canada	487
Yukon	Canada	2
NA	Central African Republic	88
NA	Chad	170
NA	Chile	26247
Anhui	China	6
Beijing	China	9
Chongqing	China	6
Fujian	China	1
Gansu	China	2
Guangdong	China	8
Guangxi	China	2
Guizhou	China	2
Hainan	China	6
Hebei	China	7
Heilongjiang	China	13
Henan	China	22
Hong Kong	China	209
Hubei	China	4512
Hunan	China	4
Inner Mongolia	China	1
Jiangsu	China	0
Jiangxi	China	1
Jilin	China	3
Liaoning	China	2
Macau	China	0
Ningxia	China	0
Qinghai	China	0
Shaanxi	China	3
Shandong	China	7
Shanghai	China	7
Shanxi	China	0
Sichuan	China	3
Tianjin	China	3
Tibet	China	0
Unknown	China	0
Xinjiang	China	3
Yunnan	China	2
Zhejiang	China	1
NA	Colombia	73230
NA	Comoros	146
NA	Congo (Brazzaville)	144
NA	Congo (Kinshasa)	763
NA	Costa Rica	3217
NA	Cote d'Ivoire	286
NA	Croatia	7040
NA	Cuba	632
NA	Cyprus	308
NA	Czechia	29213
Faroe Islands	Denmark	1
Greenland	Denmark	0
NA	Denmark	2483
NA	Diamond Princess	13
NA	Djibouti	143
NA	Dominica	0
NA	Dominican Republic	3471
NA	Ecuador	18552
NA	Egypt	13278
NA	El Salvador	2120
NA	Equatorial Guinea	112
NA	Eritrea	10
NA	Estonia	1158
NA	Eswatini	671
NA	Ethiopia	3658
NA	Fiji	2
NA	Finland	913
French Guiana	France	100
French Polynesia	France	141
Guadeloupe	France	211
Martinique	France	70
Mayotte	France	170
New Caledonia	France	0
Reunion	France	148
Saint Barthelemy	France	1
Saint Pierre and Miquelon	France	0
St Martin	France	12
Wallis and Futuna	France	7
NA	France	103525
NA	Gabon	138
NA	Gambia	174
NA	Georgia	4095
NA	Germany	82865
NA	Ghana	779
NA	Greece	10315
NA	Grenada	1
NA	Guatemala	7500
NA	Guinea	144
NA	Guinea-Bissau	67
NA	Guyana	295
NA	Haiti	254
NA	Holy See	0
NA	Honduras	5261
NA	Hungary	27358
NA	Iceland	29
NA	India	208330
NA	Indonesia	45334
NA	Iran	71351
NA	Iraq	15433
NA	Ireland	4899
NA	Israel	6362
NA	Italy	120544
NA	Jamaica	770
NA	Japan	10160
NA	Jordan	8801
NA	Kazakhstan	3334
NA	Kenya	2707
NA	Korea, South	1828
NA	Kosovo	2134
NA	Kuwait	1554
NA	Kyrgyzstan	1598
NA	Laos	0
NA	Latvia	2125
NA	Lebanon	7249
NA	Lesotho	316
NA	Liberia	85
NA	Libya	3023
NA	Liechtenstein	57
NA	Lithuania	3916
NA	Luxembourg	794
NA	MS Zaandam	2
NA	Madagascar	637
NA	Malawi	1148
NA	Malaysia	1492
NA	Maldives	73
NA	Mali	481
NA	Malta	413
NA	Marshall Islands	0
NA	Mauritania	455
NA	Mauritius	17
NA	Mexico	216447
NA	Micronesia	0
NA	Moldova	5795
NA	Monaco	32
NA	Mongolia	110
NA	Montenegro	1492
NA	Morocco	9020
NA	Mozambique	814
NA	Namibia	638
NA	Nepal	3246
Aruba	Netherlands	98
Bonaire, Sint Eustatius and Saba	Netherlands	15
Curacao	Netherlands	108
Sint Maarten	Netherlands	27
NA	Netherlands	17124
NA	New Zealand	26
NA	Nicaragua	182
NA	Niger	191
NA	Nigeria	2063
NA	North Macedonia	4818
NA	Norway	754
NA	Oman	2010
NA	Pakistan	17811
NA	Panama	6227
NA	Papua New Guinea	107
NA	Paraguay	6302
NA	Peru	60742
NA	Philippines	17145
NA	Poland	67073
NA	Portugal	16974
NA	Qatar	450
NA	Romania	27971
NA	Russia	107902
NA	Rwanda	333
NA	Saint Kitts and Nevis	0
NA	Saint Lucia	74
NA	Saint Vincent and the Grenadines	11
NA	Samoa	0
NA	San Marino	90
NA	Sao Tome and Principe	35
NA	Saudi Arabia	6946
NA	Senegal	1107
NA	Serbia	6337
NA	Seychelles	26
NA	Sierra Leone	79
NA	Singapore	30
NA	Slovakia	11647
NA	Slovenia	4243
NA	Solomon Islands	0
NA	Somalia	713
NA	South Africa	54331
NA	South Sudan	114
NA	Spain	78080
NA	Sri Lanka	661
NA	Sudan	2349
NA	Suriname	201
NA	Sweden	14002
NA	Switzerland	10625
NA	Syria	1583
NA	Taiwan*	12
NA	Tajikistan	90
NA	Tanzania	21
NA	Thailand	188
NA	Timor-Leste	3
NA	Togo	123
NA	Trinidad and Tobago	165
NA	Tunisia	10641
NA	Turkey	39737
NA	US	575194
NA	Uganda	342
NA	Ukraine	45607
NA	United Arab Emirates	1584
Anguilla	United Kingdom	0
Bermuda	United Kingdom	27
British Virgin Islands	United Kingdom	1
Cayman Islands	United Kingdom	2
Channel Islands	United Kingdom	86
Falkland Islands (Malvinas)	United Kingdom	0
Gibraltar	United Kingdom	94
Isle of Man	United Kingdom	29
Montserrat	United Kingdom	1
Saint Helena, Ascension and Tristan da Cunha	United Kingdom	0
Turks and Caicos Islands	United Kingdom	17
NA	United Kingdom	127502
NA	Uruguay	2563
NA	Uzbekistan	647
NA	Vanuatu	1
NA	Venezuela	2117
NA	Vietnam	35
NA	West Bank and Gaza	3231
NA	Yemen	1222
NA	Zambia	1250
NA	Zimbabwe	1567
