Combined_Key	Country_Region	Population
Afghanistan	Afghanistan	38928341
Albania	Albania	2877800
Algeria	Algeria	43851043
Andorra	Andorra	77265
Angola	Angola	32866268
Antigua and Barbuda	Antigua and Barbuda	97928
Argentina	Argentina	45195777
Armenia	Armenia	2963234
Austria	Austria	9006400
Azerbaijan	Azerbaijan	10139175
Bahamas	Bahamas	393248
Bahrain	Bahrain	1701583
Bangladesh	Bangladesh	164689383
Barbados	Barbados	287371
Belarus	Belarus	9449321
Belgium	Belgium	11589616
Antwerp, Belgium	Belgium	1857986
Brussels, Belgium	Belgium	1208542
East Flanders, Belgium	Belgium	1515064
Flemish Brabant, Belgium	Belgium	1146175
Hainaut, Belgium	Belgium	1344241
Liege, Belgium	Belgium	1106992
Limburg, Belgium	Belgium	874048
Luxembourg, Belgium	Belgium	284638
Namur, Belgium	Belgium	494325
Unknown, Belgium	Belgium	NA
Walloon Brabant, Belgium	Belgium	403599
West Flanders, Belgium	Belgium	1195796
Belize	Belize	397621
Benin	Benin	12123198
Bhutan	Bhutan	771612
Bolivia	Bolivia	11673029
Bosnia and Herzegovina	Bosnia and Herzegovina	3280815
Botswana	Botswana	2351625
Brazil	Brazil	212559409
Acre, Brazil	Brazil	881935
Alagoas, Brazil	Brazil	3337357
Amapa, Brazil	Brazil	845731
Amazonas, Brazil	Brazil	4144597
Bahia, Brazil	Brazil	14873064
Ceara, Brazil	Brazil	9132078
Distrito Federal, Brazil	Brazil	3015268
Espirito Santo, Brazil	Brazil	4018650
Goias, Brazil	Brazil	7018354
Maranhao, Brazil	Brazil	7075181
Mato Grosso, Brazil	Brazil	3484466
Mato Grosso do Sul, Brazil	Brazil	2778986
Minas Gerais, Brazil	Brazil	21168791
Para, Brazil	Brazil	8602865
Paraiba, Brazil	Brazil	4018127
Parana, Brazil	Brazil	11433957
Pernambuco, Brazil	Brazil	9557071
Piaui, Brazil	Brazil	3273227
Rio de Janeiro, Brazil	Brazil	17264943
Rio Grande do Norte, Brazil	Brazil	3506853
Rio Grande do Sul, Brazil	Brazil	11377239
Rondonia, Brazil	Brazil	1777225
Roraima, Brazil	Brazil	605761
Santa Catarina, Brazil	Brazil	7164788
Sao Paulo, Brazil	Brazil	45919049
Sergipe, Brazil	Brazil	2298696
Tocantins, Brazil	Brazil	1572866
Unknown, Brazil	Brazil	NA
Brunei	Brunei	437483
Bulgaria	Bulgaria	6948445
Burkina Faso	Burkina Faso	20903278
Burma	Burma	54409794
Burundi	Burundi	11890781
Cabo Verde	Cabo Verde	555988
Cambodia	Cambodia	16718971
Cameroon	Cameroon	26545864
Central African Republic	Central African Republic	4829764
Chad	Chad	16425859
Chile	Chile	19116209
Antofagasta, Chile	Chile	607534
Araucania, Chile	Chile	957224
Arica y Parinacota, Chile	Chile	226068
Atacama, Chile	Chile	288944
Aysen, Chile	Chile	103158
Biobio, Chile	Chile	1556805
Coquimbo, Chile	Chile	757586
Los Lagos, Chile	Chile	828708
Los Rios, Chile	Chile	384837
Magallanes, Chile	Chile	166533
Maule, Chile	Chile	1044950
Metropolitana, Chile	Chile	7112808
Nuble, Chile	Chile	480609
OHiggins, Chile	Chile	914555
Tarapaca, Chile	Chile	330558
Valparaiso, Chile	Chile	1815902
Unknown, Chile	Chile	NA
Colombia	Colombia	50882884
Amazonas, Colombia	Colombia	76589
Antioquia, Colombia	Colombia	6407102
Arauca, Colombia	Colombia	262174
Atlantico, Colombia	Colombia	2535517
