country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000,653000
Albania,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Algeria,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000,2380000
Andorra,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Angola,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000
Antigua and Barbuda,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Argentina,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2740000
Armenia,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500
Australia,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7680000,7690000,7690000,7690000
Austria,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82600,82500,82500,82500,82500,82500,82500
Azerbaijan,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83200,83100,82700,82600,82600,82600,82700,82700,82700,82600,82600,82600,82600,82700,82700,82700,82700,82700,82700,82700,82700,82700
