variable	p.value_Casesper100kpp	p.value_Deathsper100kpp	p.value_FatalityRate	p.value_PositiveRate
continent	1.447019625032649e-6	5.865567304809669e-10	NA	0.003206946366903471
UrbanPop	0.03875602462069546	NA	NA	NA
cholesterol_m	0.047200764821478614	0.009268451493110688	NA	NA
cholesterol_f	0.032364993628548014	0.021943079679871528	NA	NA
DemScore	0.044118422134308374	0.0028118380328099016	NA	NA
SBP_m	NA	0.003986987987942331	NA	NA
SBP_f	NA	0.011890904569259415	NA	0.027043220772976127
CPI	NA	0.045688109551983505	NA	0.00840931999383165
BasicSaniAcc	NA	NA	0.02256295471234916	NA
LifeExp	NA	NA	NA	0.03175070062839807
